Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,power_count_neg,power_count_pos,power_current,power_current_neg,power_current_pos,power_level_state,power_voltage,power_wattage,power_wattage_neg,power_wattage_pos,iad_millimeter,shader_hitches,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_microseconds,icfl_mean_microseconds,icfl_stdev_microseconds,slice_headroom_mean_microseconds,slice_headroom_stdev_microseconds,slice_gpu_start_delay_min_microseconds,slice_gpu_start_delay_max_microseconds,screen_tear_count,early_frame_count,stale_frame_count,direct_render_frame_count,total_layer_count,merged_layer_count,maximum_rotational_speed_degrees_per_second,eye_texture_scale_factor,foveation_mode,foveation_level,dynamic_foveation_enabled,eye_tracked_foveation_latency_milliseconds,symmetric_fov,eye_buffer_width,eye_buffer_height,swap_chain_width,swap_chain_height,front_buffer_width,front_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,local_dimming_enabled,cabc_enabled,temporal_dimming_enabled,temporal_dimming_gain,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,extrapolation_factor_mean,extrapolation_factor_rms,data_extrapolation_factor_mean,data_extrapolation_factor_rms,app_vss_MB,app_rss_MB,app_uss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_gpu_physical_MB,app_gpu_virtual_MB,app_gpu_allocated_percentage,stale_frames_consecutive,max_repeated_frames,skipped_frames,face_tracking_overall_latency_milliseconds,face_tracking_processing_latency_milliseconds,face_tracking_frame_to_frame_latency_milliseconds,face_tracking_frames_dropped,face_tracking_frames_per_second,eye_tracking_overall_latency_milliseconds,eye_tracking_processing_latency_milliseconds,eye_tracking_frame_to_frame_latency_milliseconds,eye_tracking_frames_dropped,eye_tracking_frames_per_second,hand_tracking_overall_latency_milliseconds,hand_tracking_processing_latency_milliseconds,hand_tracking_frame_to_frame_latency_milliseconds,hand_tracking_frames_dropped,hand_tracking_frames_per_second,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height,app_frame_throttle,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
21001,3533,503,97,38,9999,0,0,1147,0,0,0,4278,4906,0,0,63,0,2,2,1516,456,2000,1,0,4,72,72,37936,14968,349,640,107,66,268,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4757,2079,0,0,0,0,100,43,56,57,62,43,39,33,0,0,50,0,0,0,0,0,0,12651,684,487,0,408,78,137,137,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
22001,3533,503,97,38,9999,0,0,927,0,0,0,4278,3965,0,0,63,0,2,2,1516,456,2000,1,0,4,73,72,37950,15086,339,776,218,66,562,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4624,2091,0,0,0,0,100,38,53,53,58,38,35,37,0,0,50,0,0,0,0,0,0,12651,684,487,0,408,78,137,137,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
23001,3533,503,97,38,9999,0,0,495,0,0,0,4278,2117,0,0,63,0,2,2,1516,456,2000,1,0,4,73,72,38012,15203,354,895,159,66,371,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4784,2073,0,0,0,0,100,43,52,46,54,43,40,37,0,0,50,0,0,0,0,0,0,12651,684,487,0,408,78,137,137,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
24001,3533,503,97,38,9999,0,0,978,0,0,0,4278,4183,0,0,63,0,2,2,1516,456,2000,1,0,4,73,72,38039,15089,301,777,179,65,413,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4512,2067,0,0,0,0,100,47,53,53,56,47,36,34,0,0,50,0,0,0,0,0,0,12651,684,487,0,408,78,137,137,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
25001,3533,503,97,38,9999,0,0,575,0,0,0,4278,2459,0,0,63,0,2,2,1516,456,2000,1,0,4,72,72,37760,15113,306,857,237,66,660,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4578,2084,0,0,0,0,100,44,52,53,58,44,41,40,0,0,49,0,0,0,0,0,0,12651,684,487,0,408,78,137,137,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
26002,3533,503,97,38,9999,0,0,848,0,0,0,4278,3627,0,0,63,0,2,2,1516,456,2000,1,0,4,72,72,37811,15122,300,842,239,65,272,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4021,2063,0,0,0,0,100,44,52,51,56,44,39,39,0,0,46,0,0,0,0,0,0,12651,684,487,0,408,78,137,137,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
27002,3533,503,97,38,9999,0,0,1407,0,0,0,4278,6019,0,0,63,0,2,2,1516,456,2000,1,0,4,73,72,37271,15036,333,736,175,65,406,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,4718,2077,0,0,0,0,100,43,54,50,58,43,33,31,0,0,45,0,0,0,0,0,0,12651,684,487,0,408,78,137,137,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
28002,3533,503,97,38,9999,0,0,623,0,0,0,4293,2674,0,0,63,0,2,2,1516,456,2000,1,0,4,73,72,37452,15329,351,867,291,66,965,1,0,2,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,3207,2073,0,0,0,0,100,43,51,52,53,43,40,42,0,0,51,0,0,0,0,0,0,12651,684,487,0,408,78,137,137,100,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
29002,3533,503,97,39,9999,0,0,754,0,0,0,4293,3236,0,0,63,0,2,2,1516,456,2000,1,0,4,72,72,39406,15436,352,1133,212,67,650,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,3113,2058,0,0,0,0,100,37,51,49,57,35,37,30,0,0,43,0,0,0,0,0,0,12651,684,487,0,408,78,137,137,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
30002,3533,503,97,39,9999,0,0,1061,0,0,0,4293,4554,0,0,63,0,2,2,1516,456,2000,1,0,4,72,72,36908,15247,320,971,179,65,436,0,0,0,0,3,2,0,10,0,0,0,0,0,1680,1760,1680,1760,4128,2208,3157,2060,0,0,0,0,100,42,52,53,55,42,30,32,0,0,41,0,0,0,0,0,0,12651,684,487,0,408,78,137,137,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
