t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1784827440229,9,A,A3,,,,,1,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html;window_stage=done
1784827500233,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=33;kind=nogo;shape=triangle
1784827502048,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=33;outcome=correct_reject;rt_ms=706
1784827502054,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=34;kind=go;shape=triangle
1784827503859,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=34;outcome=hit;rt_ms=591
1784827503864,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=35;kind=nogo;shape=square
1784827505666,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=35;outcome=correct_reject;rt_ms=580
1784827505672,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=36;kind=go;shape=square
1784827507495,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=36;outcome=hit;rt_ms=663
1784827507500,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=37;kind=nogo;shape=diamond
1784827509320,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=37;outcome=correct_reject;rt_ms=643
1784827509327,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=38;kind=nogo;shape=triangle
1784827511128,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=38;outcome=correct_reject;rt_ms=636
1784827511133,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=39;kind=go;shape=triangle
1784827512934,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=39;outcome=hit;rt_ms=500
1784827512940,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=40;kind=nogo;shape=diamond
1784827514754,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=40;outcome=correct_reject;rt_ms=603
1784827514760,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=41;kind=nogo;shape=triangle
1784827516560,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=41;outcome=correct_reject;rt_ms=548
1784827516566,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=42;kind=nogo;shape=diamond
1784827518395,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=42;outcome=correct_reject;rt_ms=643
1784827518401,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=43;kind=nogo;shape=triangle
1784827520226,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=43;outcome=correct_reject;rt_ms=868
1784827520232,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=44;kind=nogo;shape=square
1784827522036,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=44;outcome=correct_reject;rt_ms=689
1784827522040,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=45;kind=nogo;shape=triangle
1784827523841,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=45;outcome=correct_reject;rt_ms=571
1784827523848,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=46;kind=go;shape=triangle
1784827525662,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=46;outcome=hit;rt_ms=518
1784827525668,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=47;kind=nogo;shape=diamond
1784827527496,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=47;outcome=correct_reject;rt_ms=428
1784827527501,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=48;kind=nogo;shape=triangle
1784827529326,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=48;outcome=correct_reject;rt_ms=474
1784827529331,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=49;kind=nogo;shape=circle
1784827531143,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=49;outcome=correct_reject;rt_ms=523
1784827531149,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=50;kind=nogo;shape=square
