t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1784735111262,1,A,A1,,,,,,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html
1784735111262,1,A,A1,,,,,,NBACK1_PILOT,CPT_RUN_START,trials=84;seed=10;soa_s=2.5;task=nback1
1784735191663,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=32;kind=nogo;shape=circle
1784735194176,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=32;outcome=correct_reject;rt_ms=1012
1784735194182,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=33;kind=go;shape=circle
1784735196684,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=33;outcome=hit;rt_ms=653
1784735196688,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=34;kind=nogo;shape=diamond
1784735199189,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=34;outcome=correct_reject;rt_ms=534
1784735199194,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=35;kind=go;shape=diamond
1784735201700,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=35;outcome=hit;rt_ms=771
1784735201706,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=36;kind=nogo;shape=square
1784735204212,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=36;outcome=correct_reject;rt_ms=996
1784735204218,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=37;kind=go;shape=square
1784735206720,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=37;outcome=hit;rt_ms=752
1784735206724,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=38;kind=nogo;shape=diamond
1784735209245,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=38;outcome=correct_reject;rt_ms=722
1784735209251,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=39;kind=nogo;shape=circle
1784735211752,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=39;outcome=correct_reject;rt_ms=967
1784735211757,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=40;kind=go;shape=circle
1784735214279,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=40;outcome=hit;rt_ms=629
1784735214284,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=41;kind=nogo;shape=square
1784735216785,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=41;outcome=correct_reject;rt_ms=740
1784735216789,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=42;kind=nogo;shape=diamond
1784735219307,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=42;outcome=correct_reject;rt_ms=922
1784735219312,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=43;kind=go;shape=diamond
1784735221813,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=43;outcome=hit;rt_ms=930
1784735221819,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=44;kind=nogo;shape=triangle
1784735224320,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=44;outcome=correct_reject;rt_ms=844
1784735224324,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=45;kind=go;shape=triangle
1784735226830,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=45;outcome=hit;rt_ms=850
1784735226834,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=46;kind=nogo;shape=circle
1784735229349,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=46;outcome=correct_reject;rt_ms=656
1784735229354,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=47;kind=go;shape=circle
1784735231855,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=47;outcome=hit;rt_ms=673
1784735231859,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=48;kind=nogo;shape=square
1784735234380,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=48;outcome=correct_reject;rt_ms=673
1784735234385,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=49;kind=nogo;shape=triangle
1784735236886,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=49;outcome=correct_reject;rt_ms=1199
1784735236891,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=50;kind=nogo;shape=diamond
1784735239407,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=50;outcome=correct_reject;rt_ms=760
1784735239411,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=51;kind=nogo;shape=square
1784735241916,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=51;outcome=correct_reject;rt_ms=908
1784735241920,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=52;kind=nogo;shape=circle
1784735244421,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=52;outcome=correct_reject;rt_ms=695
1784735244425,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=53;kind=nogo;shape=square
1784735246933,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=53;outcome=correct_reject;rt_ms=670
1784735246938,1,A,A1,,,,,,NBACK1_PILOT,CPT_ONSET,idx=54;kind=nogo;shape=diamond
1784735249445,1,A,A1,,,,,,NBACK1_PILOT,CPT_RESULT,idx=54;outcome=correct_reject;rt_ms=618
